label,message
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3wksn16
spam,"SMS QUIZ: Q1: What did the girl say to the boy? A:I love you B:Hate you C:Run. Reply A,B or C to 85023. £0.75/reply"
ham,Boss approved the leave. See you after a week!
ham,Ok lar... Joking wif u oni...
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,You've been selected! Get a free iPhone by clicking http://free-phone-offer.com. Limited time offer.
spam,Hello darling how are you? I'm bored. Text back to 84433 for a chat. Only 25p/msg.
ham,Sms services for every thing you need... Good night
ham,Happy birthday! Hope you have a wonderful day.
spam,You have a secret admirer! Find out who it is by texting REVEAL to 82277. £1.50/msg.
ham,Hey are you free tonight? Let's grab dinner.
spam,You are selected as a WINNER. For details SMS PRIZE to 78998 now. Free to receive £200 gift.
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,Meeting rescheduled to 3 PM. Conference room 2.
ham,Hostel fees due by end of month. Please transfer.
spam,Reminder: You have 1 missed prize notification. Call 0905 340 2693 to claim your reward NOW!
ham,Your package was delivered to the front door.
spam,You are awarded a cash prize from the last weekly lottery draw. Click http://lotterywins.net now
ham,Power cut in our area till 6 PM. FYI.
spam,TEXT WIN to 80810 and you could WIN a holiday for 2 to Ibiza. Std rate applies. 18+. T&Cs apply.
spam,Free entry in 2 a weekly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question std txt rate
ham,Joining the call now. Had some network issues.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
ham,See you at the airport. Gate B12.
ham,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free!
ham,Thanks for helping me move yesterday. You're the best!
spam,Your FREE weekly horoscope: Text MYSTIC to 84484 now for your future. £1/wk. 16+. Helpline: 08701230888.
ham,I'll be 10 minutes late. Traffic on the highway.
ham,Flight delayed by 2 hours. Will update you.
ham,The electricity bill is due. Please pay it today.
ham,Mom said she's making biryani tonight. Come home early.
spam,Claim your FREE broadband upgrade! You qualify for faster speeds. Call 08001950382 today.
spam,ALERT: Refinance your mortgage now. Rates as low as 2.9%. No obligations. Call: 08000930705
ham,Can you share your location? I can't find the place.
ham,Your salary has been credited for March 2024.
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, is that ok?"
ham,Lunch at the usual place? 1 PM works for me.
spam,Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney and much more for only 3.00 GBP/wk
ham,The match starts at 7:30. Want to watch together?
ham,The plumber will arrive between 11 and 1. Please be home.
spam,Are you unique enough to go Glo with MINT? To stop receiving messages from Mint please text STOP to 1839.
spam,Congratulations! You've been chosen for a £500 Amazon voucher. Claim now: http://amazongift.co.uk
spam,Win a brand new laptop! Just answer a simple question: Text LAPTOP to 87727. £1.50 entry.
spam,You've been pre-approved for a £5000 loan with 0% APR. No credit checks. Call 08712400200.
spam,Want explicit chat? Call 08718720201 anytime. 18+ only. £0.25/min. Adult entertainment service.
ham,Dinner was amazing. Thanks for the recommendation!
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,Hello. We need some posh birds and chaps to take part in a TV quiz. Ring 09092840625. £1.50 per min. BT-national-rate-2-pence-per-min-after-9pm.
ham,Interview went great! I think I got the job.
